season,round,constructor,constructor_points_after_race,constructor_wins_after_race,constructor_standings_pos_after_race,constructor_points,constructor_wins,constructor_standings_pos
2008,16,mclaren,135.0,5,2,135.0,5.0,1.0
2008,16,bmw_sauber,128.0,1,3,120.0,1.0,3.0
2008,16,renault,66.0,2,4,51.0,1.0,4.0
2008,16,toyota,50.0,0,5,46.0,0.0,5.0
2008,16,toro_rosso,34.0,1,6,31.0,1.0,6.0
2008,16,red_bull,29.0,0,7,28.0,0.0,7.0
2008,16,williams,26.0,0,8,26.0,0.0,8.0
2008,16,honda,14.0,0,9,14.0,0.0,9.0
2008,16,force_india,0.0,0,10,0.0,0.0,10.0
2008,16,super_aguri,0.0,0,11,0.0,0.0,11.0
2008,17,ferrari,156.0,7,1,142.0,7.0,1.0
2008,17,mclaren,145.0,6,2,135.0,5.0,2.0
2008,17,bmw_sauber,135.0,1,3,128.0,1.0,3.0
2008,17,renault,72.0,2,4,66.0,2.0,4.0
2008,17,toyota,52.0,0,5,50.0,0.0,5.0
2008,17,toro_rosso,34.0,1,6,34.0,1.0,6.0
2008,17,red_bull,29.0,0,7,29.0,0.0,7.0
2008,17,williams,26.0,0,8,26.0,0.0,8.0
2008,17,honda,14.0,0,9,14.0,0.0,9.0
2008,17,force_india,0.0,0,10,0.0,0.0,10.0
2008,17,super_aguri,0.0,0,11,0.0,0.0,11.0
2008,18,ferrari,172.0,8,1,156.0,7.0,1.0
2008,18,mclaren,151.0,6,2,145.0,6.0,2.0
2008,18,bmw_sauber,135.0,1,3,135.0,1.0,3.0
2008,18,renault,80.0,2,4,72.0,2.0,4.0
2008,18,toyota,56.0,0,5,52.0,0.0,5.0
2008,18,toro_rosso,39.0,1,6,34.0,1.0,6.0
2008,18,red_bull,29.0,0,7,29.0,0.0,7.0
2008,18,williams,26.0,0,8,26.0,0.0,8.0
2008,18,honda,14.0,0,9,14.0,0.0,9.0
2008,18,force_india,0.0,0,10,0.0,0.0,10.0
2008,18,super_aguri,0.0,0,11,0.0,0.0,11.0
2009,1,brawn,18.0,1,1,0.0,0.0,0.0
2009,1,toyota,11.0,0,2,0.0,0.0,0.0
2009,1,renault,4.0,0,3,0.0,0.0,0.0
2009,1,williams,3.0,0,4,0.0,0.0,0.0
2009,1,toro_rosso,3.0,0,5,0.0,0.0,0.0
2009,1,force_india,0.0,0,6,0.0,0.0,0.0
2009,1,bmw_sauber,0.0,0,7,0.0,0.0,0.0
2009,1,red_bull,0.0,0,8,0.0,0.0,0.0
2009,1,ferrari,0.0,0,9,0.0,0.0,0.0
2009,2,brawn,25.0,2,1,18.0,1.0,1.0
2009,2,toyota,,0,2,11.0,0.0,2.0
2009,2,bmw_sauber,4.0,0,3,0.0,0.0,7.0
2009,2,renault,4.0,0,4,4.0,0.0,3.0
2009,2,williams,,0,5,3.0,0.0,4.0
2009,2,toro_rosso,3.0,0,6,3.0,0.0,5.0
2009,2,red_bull,,0,7,0.0,0.0,8.0
2009,2,mclaren,1.0,0,8,0.0,0.0,0.0
2009,2,force_india,0.0,0,9,0.0,0.0,6.0
2009,2,ferrari,0.0,0,10,0.0,0.0,9.0
2009,3,brawn,36.0,2,1,25.0,2.0,1.0
2009,3,red_bull,,1,2,0.0,0.0,7.0
2009,3,toyota,,0,3,0.0,0.0,2.0
2009,3,mclaren,8.0,0,4,1.0,0.0,8.0
2009,3,bmw_sauber,4.0,0,5,4.0,0.0,3.0
2009,3,renault,4.0,0,6,4.0,0.0,4.0
2009,3,toro_rosso,4.0,0,7,3.0,0.0,6.0
2009,3,williams,,0,8,0.0,0.0,5.0
2009,3,ferrari,0.0,0,9,0.0,0.0,10.0
2009,3,force_india,0.0,0,10,0.0,0.0,9.0
2009,4,brawn,50.0,3,1,36.0,2.0,1.0
2009,4,red_bull,,1,2,0.0,1.0,2.0
2009,4,toyota,,0,3,0.0,0.0,3.0
2009,4,mclaren,13.0,0,4,8.0,0.0,4.0
2009,4,renault,5.0,0,5,4.0,0.0,6.0
2009,4,bmw_sauber,4.0,0,6,4.0,0.0,5.0
2009,4,toro_rosso,4.0,0,7,4.0,0.0,7.0
2009,4,williams,,0,8,0.0,0.0,8.0
2009,4,ferrari,3.0,0,9,0.0,0.0,9.0
2009,4,force_india,0.0,0,10,0.0,0.0,10.0
2009,5,brawn,68.0,4,1,50.0,3.0,1.0
2009,5,red_bull,,1,2,0.0,1.0,2.0
2009,5,toyota,,0,3,0.0,0.0,3.0
2009,5,mclaren,13.0,0,4,13.0,0.0,4.0
2009,5,renault,9.0,0,5,5.0,0.0,5.0
2009,5,bmw_sauber,6.0,0,6,4.0,0.0,6.0
2009,5,ferrari,6.0,0,7,3.0,0.0,9.0
2009,5,williams,,0,8,0.0,0.0,8.0
2009,5,toro_rosso,4.0,0,9,4.0,0.0,7.0
2009,5,force_india,0.0,0,10,0.0,0.0,10.0
2009,6,brawn,86.0,5,1,68.0,4.0,1.0
2009,6,red_bull,,1,2,0.0,1.0,2.0
2009,6,toyota,,0,3,0.0,0.0,3.0
2009,6,ferrari,17.0,0,4,6.0,0.0,7.0
2009,6,mclaren,13.0,0,5,13.0,0.0,4.0
2009,6,renault,11.0,0,6,9.0,0.0,5.0
2009,6,williams,,0,7,0.0,0.0,8.0
2009,6,bmw_sauber,6.0,0,8,6.0,0.0,6.0
2009,6,toro_rosso,5.0,0,9,4.0,0.0,9.0
2009,6,force_india,0.0,0,10,0.0,0.0,10.0
2009,7,brawn,96.0,6,1,86.0,5.0,1.0
2009,7,red_bull,,1,2,0.0,1.0,2.0
2009,7,toyota,,0,3,0.0,0.0,3.0
2009,7,ferrari,20.0,0,4,17.0,0.0,4.0
2009,7,mclaren,13.0,0,5,13.0,0.0,5.0
2009,7,williams,,0,6,0.0,0.0,7.0
2009,7,renault,11.0,0,7,11.0,0.0,6.0
2009,7,bmw_sauber,8.0,0,8,6.0,0.0,8.0
2009,7,toro_rosso,5.0,0,9,5.0,0.0,9.0
2009,7,force_india,0.0,0,10,0.0,0.0,10.0
2009,8,brawn,105.0,6,1,96.0,6.0,1.0
2009,8,red_bull,,2,2,0.0,1.0,2.0
2009,8,toyota,,0,3,0.0,0.0,3.0
2009,8,ferrari,26.0,0,4,20.0,0.0,4.0
2009,8,williams,,0,5,0.0,0.0,6.0
2009,8,mclaren,13.0,0,6,13.0,0.0,5.0
2009,8,renault,11.0,0,7,11.0,0.0,7.0
2009,8,bmw_sauber,8.0,0,8,8.0,0.0,8.0
2009,8,toro_rosso,5.0,0,9,5.0,0.0,9.0
2009,8,force_india,0.0,0,10,0.0,0.0,10.0
2009,9,brawn,112.0,6,1,105.0,6.0,1.0
2009,9,red_bull,,3,2,0.0,2.0,2.0
2009,9,toyota,,0,3,0.0,0.0,3.0
2009,9,ferrari,32.0,0,4,26.0,0.0,4.0
2009,9,williams,,0,5,0.0,0.0,5.0
2009,9,mclaren,14.0,0,6,13.0,0.0,6.0
2009,9,renault,13.0,0,7,11.0,0.0,7.0
2009,9,bmw_sauber,8.0,0,8,8.0,0.0,8.0
2009,9,toro_rosso,5.0,0,9,5.0,0.0,9.0
2009,9,force_india,0.0,0,10,0.0,0.0,10.0
2009,10,brawn,114.0,6,1,112.0,6.0,1.0
2009,10,red_bull,,3,2,0.0,3.0,2.0
2009,10,ferrari,40.0,0,3,32.0,0.0,4.0
2009,10,toyota,,0,4,0.0,0.0,3.0
2009,10,mclaren,28.0,1,5,14.0,0.0,6.0
2009,10,williams,,0,6,0.0,0.0,5.0
2009,10,renault,13.0,0,7,13.0,0.0,7.0
2009,10,bmw_sauber,8.0,0,8,8.0,0.0,8.0
2009,10,toro_rosso,5.0,0,9,5.0,0.0,9.0
2009,10,force_india,0.0,0,10,0.0,0.0,10.0
2009,11,brawn,126.0,7,1,114.0,6.0,1.0
2009,11,red_bull,,3,2,0.0,3.0,2.0
2009,11,ferrari,46.0,0,3,40.0,0.0,3.0
2009,11,mclaren,41.0,1,4,28.0,1.0,5.0
2009,11,toyota,,0,5,0.0,0.0,4.0
2009,11,williams,,0,6,0.0,0.0,6.0
2009,11,renault,16.0,0,7,13.0,0.0,7.0
2009,11,bmw_sauber,9.0,0,8,8.0,0.0,8.0
2009,11,toro_rosso,5.0,0,9,5.0,0.0,9.0
2009,11,force_india,0.0,0,10,0.0,0.0,10.0
2009,12,brawn,128.0,7,1,126.0,7.0,1.0
2009,12,red_bull,,3,2,0.0,3.0,2.0
2009,12,ferrari,56.0,1,3,46.0,0.0,3.0
2009,12,mclaren,44.0,1,4,41.0,1.0,4.0
2009,12,toyota,,0,5,0.0,0.0,5.0
2009,12,williams,,0,6,0.0,0.0,6.0
2009,12,bmw_sauber,18.0,0,7,9.0,0.0,8.0
2009,12,renault,16.0,0,8,16.0,0.0,7.0
2009,12,force_india,8.0,0,9,0.0,0.0,10.0
2009,12,toro_rosso,5.0,0,10,5.0,0.0,9.0
2009,13,brawn,146.0,8,1,128.0,7.0,1.0
2009,13,red_bull,,3,2,0.0,3.0,2.0
2009,13,ferrari,62.0,1,3,56.0,1.0,3.0
2009,13,mclaren,47.0,1,4,44.0,1.0,4.0
2009,13,toyota,,0,5,0.0,0.0,5.0
2009,13,williams,,0,6,0.0,0.0,6.0
2009,13,bmw_sauber,20.0,0,7,18.0,0.0,7.0
2009,13,renault,20.0,0,8,16.0,0.0,8.0
2009,13,force_india,13.0,0,9,8.0,0.0,9.0
2009,13,toro_rosso,5.0,0,10,5.0,0.0,10.0
2009,14,brawn,153.0,8,1,146.0,8.0,1.0
2009,14,red_bull,,3,2,0.0,3.0,2.0
2009,14,ferrari,62.0,1,3,62.0,1.0,3.0
2009,14,mclaren,59.0,2,4,47.0,1.0,4.0
2009,14,toyota,,0,5,0.0,0.0,5.0
2009,14,williams,,0,6,0.0,0.0,6.0
2009,14,renault,26.0,0,7,20.0,0.0,8.0
2009,14,bmw_sauber,21.0,0,8,20.0,0.0,7.0
2009,14,force_india,13.0,0,9,13.0,0.0,9.0
2009,14,toro_rosso,5.0,0,10,5.0,0.0,10.0
2009,15,brawn,156.0,8,1,153.0,8.0,1.0
2009,15,red_bull,,4,2,0.0,3.0,2.0
2009,15,ferrari,67.0,1,3,62.0,1.0,3.0
2009,15,mclaren,65.0,2,4,59.0,2.0,4.0
2009,15,toyota,,0,5,0.0,0.0,5.0
2009,15,williams,,0,6,0.0,0.0,6.0
2009,15,renault,26.0,0,7,26.0,0.0,7.0
2009,15,bmw_sauber,24.0,0,8,21.0,0.0,8.0
2009,15,force_india,13.0,0,9,13.0,0.0,9.0
2009,15,toro_rosso,5.0,0,10,5.0,0.0,10.0
2009,16,brawn,161.0,8,1,156.0,8.0,1.0
2009,16,red_bull,,5,2,0.0,4.0,2.0
2009,16,mclaren,71.0,2,3,65.0,2.0,4.0
2009,16,ferrari,70.0,1,4,67.0,1.0,3.0
2009,16,toyota,,0,5,0.0,0.0,5.0
2009,16,williams,,0,6,0.0,0.0,6.0
2009,16,bmw_sauber,32.0,0,7,24.0,0.0,8.0
2009,16,renault,26.0,0,8,26.0,0.0,7.0
2009,16,force_india,13.0,0,9,13.0,0.0,9.0
2009,16,toro_rosso,7.0,0,10,5.0,0.0,10.0
2009,17,brawn,172.0,8,1,161.0,8.0,1.0
2009,17,red_bull,,6,2,0.0,5.0,2.0
2009,17,mclaren,71.0,2,3,71.0,2.0,3.0
2009,17,ferrari,70.0,1,4,70.0,1.0,4.0
2009,17,toyota,,0,5,0.0,0.0,5.0
2009,17,bmw_sauber,36.0,0,6,32.0,0.0,7.0
2009,17,williams,,0,7,0.0,0.0,6.0
2009,17,renault,26.0,0,8,26.0,0.0,8.0
2009,17,force_india,13.0,0,9,13.0,0.0,9.0
2009,17,toro_rosso,8.0,0,10,7.0,0.0,10.0
2010,1,ferrari,43.0,1,1,0.0,0.0,0.0
2010,1,mclaren,21.0,0,2,0.0,0.0,0.0
2010,1,mercedes,18.0,0,3,0.0,0.0,0.0
2010,1,red_bull,16.0,0,4,0.0,0.0,0.0
2010,1,force_india,2.0,0,5,0.0,0.0,0.0
2010,1,williams,1.0,0,6,0.0,0.0,0.0
2010,1,renault,0.0,0,7,0.0,0.0,0.0
2010,1,toro_rosso,0.0,0,8,0.0,0.0,0.0
2010,1,lotus_racing,0.0,0,9,0.0,0.0,0.0
2010,1,sauber,0.0,0,10,0.0,0.0,0.0
2010,1,hrt,0.0,0,11,0.0,0.0,0.0
2010,1,virgin,0.0,0,12,0.0,0.0,0.0
2010,2,ferrari,70.0,1,1,43.0,1.0,1.0
2010,2,mclaren,54.0,1,2,21.0,0.0,2.0
2010,2,mercedes,29.0,0,3,18.0,0.0,3.0
2010,2,renault,18.0,0,4,0.0,0.0,7.0
2010,2,red_bull,18.0,0,5,16.0,0.0,4.0
2010,2,force_india,8.0,0,6,2.0,0.0,5.0
2010,2,williams,5.0,0,7,1.0,0.0,6.0
2010,2,toro_rosso,0.0,0,8,0.0,0.0,8.0
2010,2,sauber,0.0,0,9,0.0,0.0,10.0
2010,2,lotus_racing,0.0,0,10,0.0,0.0,9.0
2010,2,hrt,0.0,0,11,0.0,0.0,11.0
2010,2,virgin,0.0,0,12,0.0,0.0,12.0
2010,3,ferrari,76.0,1,1,70.0,1.0,1.0
2010,3,mclaren,66.0,1,2,54.0,1.0,2.0
2010,3,red_bull,61.0,1,3,18.0,0.0,5.0
2010,3,mercedes,44.0,0,4,29.0,0.0,3.0
2010,3,renault,30.0,0,5,18.0,0.0,4.0
2010,3,force_india,18.0,0,6,8.0,0.0,6.0
2010,3,williams,6.0,0,7,5.0,0.0,7.0
2010,3,toro_rosso,2.0,0,8,0.0,0.0,8.0
2010,3,sauber,0.0,0,9,0.0,0.0,9.0
2010,3,lotus_racing,0.0,0,10,0.0,0.0,10.0
2010,3,hrt,0.0,0,11,0.0,0.0,11.0
2010,3,virgin,0.0,0,12,0.0,0.0,12.0
2010,4,mclaren,109.0,2,1,66.0,1.0,2.0
2010,4,ferrari,90.0,1,2,76.0,1.0,1.0
2010,4,red_bull,73.0,1,3,61.0,1.0,3.0
2010,4,mercedes,60.0,0,4,44.0,0.0,4.0
2010,4,renault,46.0,0,5,30.0,0.0,5.0
2010,4,force_india,18.0,0,6,18.0,0.0,6.0
2010,4,williams,6.0,0,7,6.0,0.0,7.0
2010,4,toro_rosso,2.0,0,8,2.0,0.0,8.0
2010,4,sauber,0.0,0,9,0.0,0.0,9.0
2010,4,lotus_racing,0.0,0,10,0.0,0.0,10.0
2010,4,hrt,0.0,0,11,0.0,0.0,11.0
2010,4,virgin,0.0,0,12,0.0,0.0,12.0
2010,5,mclaren,119.0,2,1,109.0,2.0,1.0
2010,5,ferrari,116.0,1,2,90.0,1.0,2.0
2010,5,red_bull,113.0,2,3,73.0,1.0,3.0
2010,5,mercedes,72.0,0,4,60.0,0.0,4.0
2010,5,renault,50.0,0,5,46.0,0.0,5.0
2010,5,force_india,24.0,0,6,18.0,0.0,6.0
2010,5,williams,8.0,0,7,6.0,0.0,7.0
2010,5,toro_rosso,3.0,0,8,2.0,0.0,8.0
2010,5,sauber,0.0,0,9,0.0,0.0,9.0
2010,5,lotus_racing,0.0,0,10,0.0,0.0,10.0
2010,5,hrt,0.0,0,11,0.0,0.0,11.0
2010,5,virgin,0.0,0,12,0.0,0.0,12.0
2010,6,red_bull,156.0,3,1,113.0,2.0,3.0
2010,6,ferrari,136.0,1,2,116.0,1.0,2.0
2010,6,mclaren,129.0,2,3,119.0,2.0,1.0
2010,6,mercedes,78.0,0,4,72.0,0.0,4.0
2010,6,renault,65.0,0,5,50.0,0.0,5.0
2010,6,force_india,30.0,0,6,24.0,0.0,6.0
2010,6,williams,8.0,0,7,8.0,0.0,7.0
2010,6,toro_rosso,4.0,0,8,3.0,0.0,8.0
2010,6,sauber,0.0,0,9,0.0,0.0,9.0
2010,6,lotus_racing,0.0,0,10,0.0,0.0,10.0
2010,6,hrt,0.0,0,11,0.0,0.0,11.0
2010,6,virgin,0.0,0,12,0.0,0.0,12.0
2010,7,mclaren,172.0,3,1,129.0,2.0,3.0
2010,7,red_bull,171.0,3,2,156.0,3.0,1.0
2010,7,ferrari,146.0,1,3,136.0,1.0,2.0
2010,7,mercedes,100.0,0,4,78.0,0.0,4.0
2010,7,renault,73.0,0,5,65.0,0.0,5.0
2010,7,force_india,32.0,0,6,30.0,0.0,6.0
2010,7,williams,8.0,0,7,8.0,0.0,7.0
2010,7,toro_rosso,4.0,0,8,4.0,0.0,8.0
2010,7,sauber,1.0,0,9,0.0,0.0,9.0
2010,7,lotus_racing,0.0,0,10,0.0,0.0,10.0
2010,7,hrt,0.0,0,11,0.0,0.0,11.0
2010,7,virgin,0.0,0,12,0.0,0.0,12.0
2010,8,mclaren,215.0,4,1,172.0,3.0,1.0
2010,8,red_bull,193.0,3,2,171.0,3.0,2.0
2010,8,ferrari,161.0,1,3,146.0,1.0,3.0
2010,8,mercedes,108.0,0,4,100.0,0.0,4.0
2010,8,renault,79.0,0,5,73.0,0.0,5.0
2010,8,force_india,35.0,0,6,32.0,0.0,6.0
2010,8,toro_rosso,8.0,0,7,4.0,0.0,8.0
2010,8,williams,8.0,0,8,8.0,0.0,7.0
2010,8,sauber,1.0,0,9,1.0,0.0,9.0
2010,8,lotus_racing,0.0,0,10,0.0,0.0,10.0
2010,8,hrt,0.0,0,11,0.0,0.0,11.0
2010,8,virgin,0.0,0,12,0.0,0.0,12.0
2010,9,mclaren,248.0,4,1,215.0,4.0,1.0
2010,9,red_bull,218.0,4,2,193.0,3.0,2.0
2010,9,ferrari,165.0,1,3,161.0,1.0,3.0
2010,9,mercedes,109.0,0,4,108.0,0.0,4.0
2010,9,renault,89.0,0,5,79.0,0.0,5.0
2010,9,force_india,43.0,0,6,35.0,0.0,6.0
2010,9,williams,20.0,0,7,8.0,0.0,8.0
2010,9,toro_rosso,10.0,0,8,8.0,0.0,7.0
2010,9,sauber,7.0,0,9,1.0,0.0,9.0
2010,9,lotus_racing,0.0,0,10,0.0,0.0,10.0
2010,9,hrt,0.0,0,11,0.0,0.0,11.0
2010,9,virgin,0.0,0,12,0.0,0.0,12.0
